rank,author,author_alias,attribution_link,total_downloads,adjusted_total_downloads,asset_count,map_count,mod_count
1,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,24037,24037,89,88,1
2,rslurry,slurry,https://github.com/rslurry,17291,17291,35,33,2
3,stefanorigano,Steno,https://github.com/stefanorigano,10537,10537,1,0,1
4,Valdotorium,Valdotorium,https://github.com/Valdotorium,8874,8874,7,4,3
5,crumpetime,muffintime,https://github.com/crumpetime,8772,8772,9,8,1
6,devenperez,devenperez,https://github.com/devenperez,7941,7941,8,8,0
7,kimth9,kimth9,https://github.com/kimth9,7687,7687,20,19,1
8,Kronifer,Kronifer,https://github.com/Kronifer,7370,7370,9,9,0
9,Maximilian284,max02,https://github.com/Maximilian284,6536,6536,19,19,0
10,martig7,martig7,https://github.com/martig7,5445,5445,2,0,2
11,BarKuperman,BarKuperman,https://github.com/BarKuperman,5166,5166,4,2,2
12,nzh0172,naz,https://github.com/nzh0172,5162,5162,8,5,3
13,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,4508,4508,5,0,5
14,ryandicicco,ryandicicco,https://github.com/ryandicicco,3346,3346,7,7,0
15,jelegend,jelegend,https://github.com/jelegend,3080,3080,1,1,0
16,Bobby-047,Bobby-047,https://github.com/Bobby-047,2897,2897,1,0,1
17,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,2693,2693,13,10,3
18,DanielD1909,DanielD1909,https://github.com/DanielD1909,2648,2648,3,1,2
19,Gio1112,giorgiodabest,https://giorgio.is-a.dev/,2358,2358,1,0,1
20,hsullivan1201,hsullivan1201,https://github.com/hsullivan1201,2145,2145,1,0,1
21,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1825,1825,10,10,0
22,Mpfk,Mpfk,https://github.com/Mpfk,1450,1450,1,0,1
23,pierreggt,pierreggt,https://github.com/pierreggt,1382,1382,14,14,0
24,soccerjonj,soccerjonj,https://github.com/soccerjonj,1339,1339,7,7,0
25,TransitCore,TransitCore,https://github.com/TransitCore,1215,1215,2,0,2
26,WillBarouch,WillBarouch,https://github.com/WillBarouch,1088,1088,1,1,0
27,bquelhas,bquelhas,https://github.com/bquelhas,700,700,1,1,0
28,roquerodrigo,roquerodrigo,https://github.com/roquerodrigo,675,675,2,0,2
29,NerdieSanders,NerdieSanders,https://github.com/NerdieSanders,581,581,1,1,0
30,IMB11,IMB11,https://github.com/IMB11,561,561,2,0,2
31,chasemanning040911-afk,lechicken,https://github.com/chasemanning040911-afk,370,370,1,1,0
32,pendulating,pendulating,https://github.com/pendulating,304,304,1,0,1
33,metatablestudios,metatablestudios,https://github.com/metatablestudios,285,285,1,1,0
34,worstboyinaustral1a,worstboyinaustral1a,https://github.com/worstboyinaustral1a,231,231,1,1,0
35,TathanDev,TathanDev,https://github.com/TathanDev,184,184,1,0,1
36,Phineapoo,Phineapoo,https://github.com/Phineapoo,109,109,1,1,0
37,bean1322,bean1322,https://github.com/bean1322,87,87,2,2,0
38,giannons46,giannons46,https://github.com/giannons46,62,62,1,1,0
