rank,author,author_alias,attribution_link,asset_count,map_count,mod_count,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot,map_download_change,adjusted_map_download_change,mod_download_change,adjusted_mod_download_change
1,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,132,131,1,343,343,51452,51452,51109,51109,snapshot_2026_09_08.json,snapshot_2026_09_07.json,321,321,22,22
2,pierreggt,pierreggt,https://github.com/pierreggt,77,77,0,98,98,7331,7331,7233,7233,snapshot_2026_09_08.json,snapshot_2026_09_07.json,98,98,0,0
3,BarKuperman,BarKuperman,https://github.com/BarKuperman,14,11,3,67,67,11285,11285,11218,11218,snapshot_2026_09_08.json,snapshot_2026_09_07.json,29,29,38,38
4,Valdotorium,Valdotorium,https://github.com/Valdotorium,7,4,3,61,61,14418,14418,14357,14357,snapshot_2026_09_08.json,snapshot_2026_09_07.json,23,23,38,38
5,crumpetime,muffintime,https://github.com/crumpetime,9,8,1,55,55,13223,13223,13168,13168,snapshot_2026_09_08.json,snapshot_2026_09_07.json,21,21,34,34
6,martig7,martig7,https://github.com/martig7,2,0,2,42,42,10080,10080,10038,10038,snapshot_2026_09_08.json,snapshot_2026_09_07.json,0,0,42,42
7,rslurry,slurry,https://github.com/rslurry,35,33,2,40,40,22056,22056,22016,22016,snapshot_2026_09_08.json,snapshot_2026_09_07.json,29,29,11,11
8,devenperez,devenperez,https://github.com/devenperez,8,8,0,39,39,11013,11013,10974,10974,snapshot_2026_09_08.json,snapshot_2026_09_07.json,39,39,0,0
9,nzh0172,naz,https://github.com/nzh0172,8,5,3,28,28,6990,6990,6962,6962,snapshot_2026_09_08.json,snapshot_2026_09_07.json,10,10,18,18
10,kimth9,kimth9,https://github.com/kimth9,20,19,1,27,27,8585,8585,8558,8558,snapshot_2026_09_08.json,snapshot_2026_09_07.json,25,25,2,2
11,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,5,0,5,27,27,6691,6691,6664,6664,snapshot_2026_09_08.json,snapshot_2026_09_07.json,0,0,27,27
12,YellowAquarium,YellowAquarium,https://github.com/YellowAquarium,1,0,1,27,27,94,94,67,67,snapshot_2026_09_08.json,snapshot_2026_09_07.json,0,0,27,27
13,DanielD1909,DanielD1909,https://github.com/DanielD1909,4,1,3,23,23,4017,4017,3994,3994,snapshot_2026_09_08.json,snapshot_2026_09_07.json,1,1,22,22
