rank,author,author_alias,attribution_link,asset_count,map_count,mod_count,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
1,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,132,131,1,1064,1064,51452,51452,50388,50388,snapshot_2026_09_08.json,snapshot_2026_09_05.json
2,pierreggt,pierreggt,https://github.com/pierreggt,77,77,0,478,478,7331,7331,6853,6853,snapshot_2026_09_08.json,snapshot_2026_09_05.json
3,BarKuperman,BarKuperman,https://github.com/BarKuperman,14,11,3,241,241,11285,11285,11044,11044,snapshot_2026_09_08.json,snapshot_2026_09_05.json
4,Valdotorium,Valdotorium,https://github.com/Valdotorium,7,4,3,236,236,14418,14418,14182,14182,snapshot_2026_09_08.json,snapshot_2026_09_05.json
5,crumpetime,muffintime,https://github.com/crumpetime,9,8,1,189,189,13223,13223,13034,13034,snapshot_2026_09_08.json,snapshot_2026_09_05.json
6,rslurry,slurry,https://github.com/rslurry,35,33,2,172,172,22056,22056,21884,21884,snapshot_2026_09_08.json,snapshot_2026_09_05.json
7,martig7,martig7,https://github.com/martig7,2,0,2,167,167,10080,10080,9913,9913,snapshot_2026_09_08.json,snapshot_2026_09_05.json
8,devenperez,devenperez,https://github.com/devenperez,8,8,0,151,151,11013,11013,10862,10862,snapshot_2026_09_08.json,snapshot_2026_09_05.json
9,Maximilian284,max02,https://github.com/Maximilian284,21,21,0,120,120,9664,9664,9544,9544,snapshot_2026_09_08.json,snapshot_2026_09_05.json
10,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,5,0,5,113,113,6691,6691,6578,6578,snapshot_2026_09_08.json,snapshot_2026_09_05.json
11,Kronifer,Kronifer,https://github.com/Kronifer,10,10,0,107,107,10432,10432,10325,10325,snapshot_2026_09_08.json,snapshot_2026_09_05.json
12,nzh0172,naz,https://github.com/nzh0172,8,5,3,103,103,6990,6990,6887,6887,snapshot_2026_09_08.json,snapshot_2026_09_05.json
13,DanielD1909,DanielD1909,https://github.com/DanielD1909,4,1,3,99,99,4017,4017,3918,3918,snapshot_2026_09_08.json,snapshot_2026_09_05.json
14,YellowAquarium,YellowAquarium,https://github.com/YellowAquarium,1,0,1,94,94,94,94,0,0,snapshot_2026_09_08.json,snapshot_2026_09_05.json
15,roquerodrigo,roquerodrigo,https://github.com/roquerodrigo,2,0,2,73,73,2550,2550,2477,2477,snapshot_2026_09_08.json,snapshot_2026_09_05.json
16,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,10,10,0,68,68,1747,1747,1679,1679,snapshot_2026_09_08.json,snapshot_2026_09_05.json
17,rexmhall09,rexmhall09,https://github.com/rexmhall09,1,0,1,59,59,1196,1196,1137,1137,snapshot_2026_09_08.json,snapshot_2026_09_05.json
18,danielloong714,danielloong714,https://github.com/danielloong714,1,0,1,55,55,238,238,183,183,snapshot_2026_09_08.json,snapshot_2026_09_05.json
19,ryandicicco,ryandicicco,https://github.com/ryandicicco,7,7,0,51,51,4431,4431,4380,4380,snapshot_2026_09_08.json,snapshot_2026_09_05.json
20,pendulating,pendulating,https://github.com/pendulating,1,0,1,49,49,2177,2177,2128,2128,snapshot_2026_09_08.json,snapshot_2026_09_05.json
21,kimth9,kimth9,https://github.com/kimth9,20,19,1,45,45,8585,8585,8540,8540,snapshot_2026_09_08.json,snapshot_2026_09_05.json
22,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,13,10,3,39,39,3890,3890,3851,3851,snapshot_2026_09_08.json,snapshot_2026_09_05.json
23,Rmerr1,Rmerr1,https://github.com/Rmerr1,1,1,0,39,39,489,489,450,450,snapshot_2026_09_08.json,snapshot_2026_09_05.json
24,Bobby-047,Bobby-047,https://github.com/Bobby-047,1,0,1,34,34,3702,3702,3668,3668,snapshot_2026_09_08.json,snapshot_2026_09_05.json
25,hsullivan1201,hsullivan1201,https://github.com/hsullivan1201,1,0,1,23,23,2603,2603,2580,2580,snapshot_2026_09_08.json,snapshot_2026_09_05.json
26,Gio1112,giorgiodabest,https://giorgio.is-a.dev/,1,0,1,22,22,2785,2785,2763,2763,snapshot_2026_09_08.json,snapshot_2026_09_05.json
27,xoaninc,xoaninc,https://github.com/xoaninc,1,0,1,22,22,172,172,150,150,snapshot_2026_09_08.json,snapshot_2026_09_05.json
28,TransitCore,TransitCore,https://github.com/TransitCore,2,0,2,21,21,1516,1516,1495,1495,snapshot_2026_09_08.json,snapshot_2026_09_05.json
29,bean1322,bean1322,https://github.com/bean1322,2,2,0,20,20,195,195,175,175,snapshot_2026_09_08.json,snapshot_2026_09_05.json
30,NoahGarrf,NoahGarrf,https://github.com/NoahGarrf,2,0,2,20,20,103,103,83,83,snapshot_2026_09_08.json,snapshot_2026_09_05.json
31,WillBarouch,WillBarouch,https://github.com/WillBarouch,1,1,0,17,17,1353,1353,1336,1336,snapshot_2026_09_08.json,snapshot_2026_09_05.json
32,cromstar,cromstar,https://github.com/cromstar,1,1,0,17,17,367,367,350,350,snapshot_2026_09_08.json,snapshot_2026_09_05.json
33,soccerjonj,soccerjonj,https://github.com/soccerjonj,7,7,0,16,16,1664,1664,1648,1648,snapshot_2026_09_08.json,snapshot_2026_09_05.json
34,NerdieSanders,NerdieSanders,https://github.com/NerdieSanders,2,2,0,13,13,1037,1037,1024,1024,snapshot_2026_09_08.json,snapshot_2026_09_05.json
35,jelegend,jelegend,https://github.com/jelegend,1,1,0,11,11,3766,3766,3755,3755,snapshot_2026_09_08.json,snapshot_2026_09_05.json
36,Mpfk,Mpfk,https://github.com/Mpfk,1,0,1,11,11,1883,1883,1872,1872,snapshot_2026_09_08.json,snapshot_2026_09_05.json
37,Phineapoo,Phineapoo,https://github.com/Phineapoo,1,1,0,10,10,163,163,153,153,snapshot_2026_09_08.json,snapshot_2026_09_05.json
38,Tesarzh,Tesarzh,https://github.com/Tesarzh,1,0,1,9,9,246,246,237,237,snapshot_2026_09_08.json,snapshot_2026_09_05.json
