bucket_utc,listing_type,id,downloads
2026-07-01T00:00Z,map,albany,1
2026-07-01T00:00Z,map,amsterdam,2
2026-07-01T00:00Z,map,anchorage-ak,1
2026-07-01T00:00Z,map,baltimore-dc-corridor,1
2026-07-01T00:00Z,map,bangkok,1
2026-07-01T00:00Z,map,barcelona,2
2026-07-01T00:00Z,map,bari,1
2026-07-01T00:00Z,map,berlin-val,2
2026-07-01T00:00Z,map,bologna,1
2026-07-01T00:00Z,map,bucharest-medium,1
2026-07-01T00:00Z,map,buffalo-ny,1
2026-07-01T00:00Z,map,calgary,2
2026-07-01T00:00Z,map,catania,1
2026-07-01T00:00Z,map,charleston-huntington-wv,2
2026-07-01T00:00Z,map,charleston-sc,1
2026-07-01T00:00Z,map,ciudad-de-mexico,1
2026-07-01T00:00Z,map,daytonatti,1
2026-07-01T00:00Z,map,dubai,1
2026-07-01T00:00Z,map,dublin,1
2026-07-01T00:00Z,map,edmonton,1
2026-07-01T00:00Z,map,florence,1
2026-07-01T00:00Z,map,garda-lake,1
2026-07-01T00:00Z,map,genoa,1
2026-07-01T00:00Z,map,glasgow-edinburgh,1
2026-07-01T00:00Z,map,greater-chicagoland,3
2026-07-01T00:00Z,map,greater-kuala-lumpur,1
2026-07-01T00:00Z,map,greater-los-angeles,2
2026-07-01T00:00Z,map,greatertwincities,1
2026-07-01T00:00Z,map,jacksonville,1
2026-07-01T00:00Z,map,jelegend-tokyo,1
2026-07-01T00:00Z,map,jerusalem,2
2026-07-01T00:00Z,map,knoxville,1
2026-07-01T00:00Z,map,lima,1
2026-07-01T00:00Z,map,madrid,2
2026-07-01T00:00Z,map,memphis,1
2026-07-01T00:00Z,map,mfn-hamptonroads,1
2026-07-01T00:00Z,map,mfn-lasvegas,1
2026-07-01T00:00Z,map,mfn-madisonwi,1
2026-07-01T00:00Z,map,milan,1
2026-07-01T00:00Z,map,montreal,2
2026-07-01T00:00Z,map,naples,2
2026-07-01T00:00Z,map,orlando,1
2026-07-01T00:00Z,map,oslo-no,1
2026-07-01T00:00Z,map,ottawa,1
2026-07-01T00:00Z,map,palermo,1
2026-07-01T00:00Z,map,pianura-emiliana,1
2026-07-01T00:00Z,map,pianura-veneta,1
2026-07-01T00:00Z,map,piedmont-triad,1
2026-07-01T00:00Z,map,puerto-rico,1
2026-07-01T00:00Z,map,pulau-pinang,1
2026-07-01T00:00Z,map,pyongyang-nk,1
2026-07-01T00:00Z,map,quebec-city,2
2026-07-01T00:00Z,map,richmond,1
2026-07-01T00:00Z,map,riviera-romagnola,1
2026-07-01T00:00Z,map,rome,1
2026-07-01T00:00Z,map,rotterdam-the-hague,2
2026-07-01T00:00Z,map,sacramento,1
2026-07-01T00:00Z,map,san-antonio,1
2026-07-01T00:00Z,map,santa-barbara,1
2026-07-01T00:00Z,map,shanghai,2
2026-07-01T00:00Z,map,shenzhen,1
2026-07-01T00:00Z,map,singapore-val,2
2026-07-01T00:00Z,map,sydney,1
2026-07-01T00:00Z,map,tel-aviv,4
2026-07-01T00:00Z,map,toledo-oh,1
2026-07-01T00:00Z,map,toronto,1
2026-07-01T00:00Z,map,turin,1
2026-07-01T00:00Z,map,valencia,1
2026-07-01T00:00Z,map,vancouver,1
2026-07-01T00:00Z,map,warsaw-val,1
2026-07-01T00:00Z,map,waterloo,1
2026-07-01T00:00Z,map,willamette-valley,1
2026-07-01T00:00Z,map,winnipeg,1
2026-07-01T00:00Z,map,yukina-cz-praha,1
2026-07-01T00:00Z,map,yukina-hakodate,1
2026-07-01T00:00Z,map,yukina-hiroshima-kure,1
2026-07-01T00:00Z,map,yukina-kagoshima-kirishima,1
2026-07-01T00:00Z,map,yukina-kobe-akashi,1
2026-07-01T00:00Z,map,yukina-kumamoto,1
2026-07-01T00:00Z,map,yukina-morioka,1
2026-07-01T00:00Z,map,yukina-nagasaki,1
2026-07-01T00:00Z,map,yukina-nagoya,1
2026-07-01T00:00Z,map,yukina-nakadoori,1
2026-07-01T00:00Z,map,yukina-nakaumi,1
2026-07-01T00:00Z,map,yukina-niigata,1
2026-07-01T00:00Z,map,yukina-okayama,1
2026-07-01T00:00Z,map,yukina-sendai,1
2026-07-01T00:00Z,map,yukina-shizuoka-hamamatsu,1
2026-07-01T00:00Z,map,yukina-takamatsu,1
2026-07-01T00:00Z,map,yukina-tottori,1
2026-07-01T00:00Z,map,yukina-toyama,1
2026-07-01T00:00Z,map,yukina-tsugaru,1
2026-07-01T00:00Z,map,yukina-yamagata,1
2026-07-01T00:00Z,map,zurich,2
2026-07-01T00:00Z,mod,advanced-analytics,6
2026-07-01T00:00Z,mod,any-money,1
2026-07-01T00:00Z,mod,citymapper,2
2026-07-01T00:00Z,mod,danield1909-dantrains,1
2026-07-01T00:00Z,mod,distance-circles,2
2026-07-01T00:00Z,mod,game-speedup,3
2026-07-01T00:00Z,mod,improved-schematics,3
2026-07-01T00:00Z,mod,lrt-trains,2
2026-07-01T00:00Z,mod,mode-manager,4
2026-07-01T00:00Z,mod,network-status,1
2026-07-01T00:00Z,mod,orbital-surveyor,7
2026-07-01T00:00Z,mod,satellite-overlay,1
2026-07-01T00:00Z,mod,scrollable-dropdowns,2
2026-07-01T00:00Z,mod,simple-trains,3
2026-07-01T00:00Z,mod,station-dots,2
2026-07-01T00:00Z,mod,subwaybuilder-regions,3
2026-07-01T00:00Z,mod,tod,4
2026-07-01T00:00Z,mod,track-anarchy,3
2026-07-01T00:00Z,mod,track-visualizer,4
2026-07-01T00:00Z,mod,valdotoriums-trains,3
2026-07-01T01:00Z,map,barcelona,1
2026-07-01T01:00Z,map,calgary,1
2026-07-01T01:00Z,map,charleston-huntington-wv,1
2026-07-01T01:00Z,map,greater-chicagoland,5
2026-07-01T01:00Z,map,greater-los-angeles,1
2026-07-01T01:00Z,map,jelegend-tokyo,1
2026-07-01T01:00Z,map,mfn-hong-kong,1
2026-07-01T01:00Z,map,puerto-rico,1
2026-07-01T01:00Z,map,seoul-3,1
2026-07-01T01:00Z,map,sydney,1
2026-07-01T01:00Z,map,tel-aviv,1
2026-07-01T01:00Z,map,toronto,1
2026-07-01T01:00Z,map,vancouver,1
2026-07-01T01:00Z,map,waterloo,1
2026-07-01T01:00Z,mod,advanced-analytics,3
2026-07-01T01:00Z,mod,any-money,2
2026-07-01T01:00Z,mod,citymapper,2
2026-07-01T01:00Z,mod,danield1909-dantrains,1
2026-07-01T01:00Z,mod,distance-circles,4
