rank,listing_type,id,name,author,author_alias,attribution_link,total_downloads,adjusted_total_downloads,latest_snapshot
1,mod,advanced-analytics,Advanced Analytics,stefanorigano,Steno,https://github.com/stefanorigano,7816,7816,snapshot_2026_06_25.json
2,mod,distance-circles,Station Catchment Viewer,crumpetime,muffintime,https://github.com/crumpetime,2897,2897,snapshot_2026_06_25.json
3,mod,subwaybuilder-regions,Regions,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,2842,2842,snapshot_2026_06_25.json
4,map,greater-los-angeles,Greater Los Angeles,rslurry,slurry,https://github.com/rslurry,2760,2760,snapshot_2026_06_25.json
5,mod,simple-trains,Simple Trains,Bobby-047,Bobby-047,https://github.com/Bobby-047,2270,2270,snapshot_2026_06_25.json
6,mod,transit-overlay,Transit Overlay,BarKuperman,BarKuperman,https://github.com/BarKuperman,2025,2025,snapshot_2026_06_25.json
7,mod,danield1909-dantrains,"danTrains (v1.* ""Phoenix"")",DanielD1909,DanielD1909,https://github.com/DanielD1909,1963,1963,snapshot_2026_06_25.json
8,map,toronto,Toronto,devenperez,devenperez,https://github.com/devenperez,1900,1900,snapshot_2026_06_25.json
9,map,seoul-4,Seoul (40km×40km),kimth9,kimth9,https://github.com/kimth9,1886,1886,snapshot_2026_06_25.json
10,map,jelegend-tokyo,東京 (Tokyo),jelegend,jelegend,https://github.com/jelegend,1811,1811,snapshot_2026_06_25.json
11,mod,citymapper,Citymapper,Gio1112,giorgiodabest,https://giorgio.is-a.dev/,1791,1791,snapshot_2026_06_25.json
12,mod,valdotoriums-trains,Valdotoriums S-Bahn and Trams,Valdotorium,Valdotorium,https://github.com/Valdotorium,1735,1735,snapshot_2026_06_25.json
13,map,mfn-hong-kong,Hong Kong,crumpetime,muffintime,https://github.com/crumpetime,1607,1607,snapshot_2026_06_25.json
14,mod,tod,Transit-Oriented Development[beta],hsullivan1201,hsullivan1201,https://github.com/hsullivan1201,1568,1568,snapshot_2026_06_25.json
15,map,yukina-osaka,大阪 (Ōsaka),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,1507,1507,snapshot_2026_06_25.json
16,mod,any-money,anyMoney,nzh0172,naz,https://github.com/nzh0172,1417,1417,snapshot_2026_06_25.json
17,map,ciudad-de-mexico,Ciudad de México,rslurry,slurry,https://github.com/rslurry,1319,1319,snapshot_2026_06_25.json
18,mod,network-status,Network Status,Valdotorium,Valdotorium,https://github.com/Valdotorium,1302,1302,snapshot_2026_06_25.json
19,map,montreal,Montreal,devenperez,devenperez,https://github.com/devenperez,1298,1298,snapshot_2026_06_25.json
20,map,berlin-val,Berlin,Valdotorium,Valdotorium,https://github.com/Valdotorium,1266,1266,snapshot_2026_06_25.json
21,mod,station-dots,Station Dots,nzh0172,naz,https://github.com/nzh0172,1198,1198,snapshot_2026_06_25.json
22,map,los-angeles-county,Los Angeles County,rslurry,slurry,https://github.com/rslurry,1149,1149,snapshot_2026_06_25.json
23,map,zurich,Zurich,Kronifer,Kronifer,https://github.com/Kronifer,1140,1140,snapshot_2026_06_25.json
24,map,vancouver,Vancouver,devenperez,devenperez,https://github.com/devenperez,1095,1095,snapshot_2026_06_25.json
25,map,barcelona,Barcelona,Maximilian284,max02,https://github.com/Maximilian284,1066,1066,snapshot_2026_06_25.json
26,map,yukina-cz-praha,Praha,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,1049,1049,snapshot_2026_06_25.json
27,mod,mode-manager,Mode Manager,Mpfk,Mpfk,https://github.com/Mpfk,1011,1011,snapshot_2026_06_25.json
28,map,sydney,Sydney,WillBarouch,WillBarouch,https://github.com/WillBarouch,993,993,snapshot_2026_06_25.json
29,map,amsterdam,Amsterdam,ryandicicco,ryandicicco,https://github.com/ryandicicco,950,950,snapshot_2026_06_25.json
30,map,seoul-3,Seoul (30km×30km),kimth9,kimth9,https://github.com/kimth9,946,946,snapshot_2026_06_25.json
31,map,glasgow-edinburgh,Glasgow-Edinburgh,Kronifer,Kronifer,https://github.com/Kronifer,923,923,snapshot_2026_06_25.json
32,map,yukina-kyoto,京都 (Kyōto),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,909,909,snapshot_2026_06_25.json
33,mod,game-speedup,Game SpeedUp,Valdotorium,Valdotorium,https://github.com/Valdotorium,886,886,snapshot_2026_06_25.json
34,map,madrid,Madrid,Maximilian284,max02,https://github.com/Maximilian284,884,884,snapshot_2026_06_25.json
35,mod,track-visualizer,track height visualizer,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,881,881,snapshot_2026_06_25.json
36,map,singapore-val,Singapore,Valdotorium,Valdotorium,https://github.com/Valdotorium,877,877,snapshot_2026_06_25.json
37,map,yukina-tw-taipei,臺北 (Taipei),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,842,842,snapshot_2026_06_25.json
38,map,busan-4,Busan (40km×40km),kimth9,kimth9,https://github.com/kimth9,816,816,snapshot_2026_06_25.json
39,mod,improved-schematics,Improved Schematics,martig7,martig7,https://github.com/martig7,754,754,snapshot_2026_06_25.json
40,map,charleston-huntington-wv,Charleston-Huntington,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,700,700,snapshot_2026_06_25.json
41,map,helsinki,Helsinki,rslurry,slurry,https://github.com/rslurry,692,692,snapshot_2026_06_25.json
42,map,shanghai,Shanghai,Kronifer,Kronifer,https://github.com/Kronifer,692,692,snapshot_2026_06_25.json
43,map,guangzhou,Guangzhou,Kronifer,Kronifer,https://github.com/Kronifer,628,628,snapshot_2026_06_25.json
44,map,yukina-fukuoka,福岡 (Fukuoka),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,594,594,snapshot_2026_06_25.json
45,map,incheon-4,Incheon (40km×40km),kimth9,kimth9,https://github.com/kimth9,584,584,snapshot_2026_06_25.json
46,map,milan,Milan,Maximilian284,max02,https://github.com/Maximilian284,580,580,snapshot_2026_06_25.json
