rank,listing_type,id,name,author,author_alias,attribution_link,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
1,mod,advanced-analytics,Advanced Analytics,stefanorigano,Steno,https://github.com/stefanorigano,383,383,11846,11846,11463,11463,snapshot_2026_08_03.json,snapshot_2026_07_31.json
2,mod,distance-circles,Station Catchment Viewer,crumpetime,muffintime,https://github.com/crumpetime,370,370,6442,6442,6072,6072,snapshot_2026_08_03.json,snapshot_2026_07_31.json
3,mod,transit-overlay,Transit Overlay,BarKuperman,BarKuperman,https://github.com/BarKuperman,287,287,3748,3748,3461,3461,snapshot_2026_08_03.json,snapshot_2026_07_31.json
4,mod,neighborhood-station-names,Neighborhood Station Names,pendulating,pendulating,https://github.com/pendulating,255,255,970,970,715,715,snapshot_2026_08_03.json,snapshot_2026_07_31.json
5,mod,improved-schematics,Improved Schematics,martig7,martig7,https://github.com/martig7,241,241,4609,4609,4368,4368,snapshot_2026_08_03.json,snapshot_2026_07_31.json
6,mod,valdotoriums-trains,Valdotoriums S-Bahn and Trams,Valdotorium,Valdotorium,https://github.com/Valdotorium,220,220,2955,2955,2735,2735,snapshot_2026_08_03.json,snapshot_2026_07_31.json
7,mod,orbital-surveyor,Orbital Surveyor,BarKuperman,BarKuperman,https://github.com/BarKuperman,202,202,1566,1566,1364,1364,snapshot_2026_08_03.json,snapshot_2026_07_31.json
8,mod,imb11-moveit,Move It!,IMB11,IMB11,https://github.com/IMB11,167,167,1151,1151,984,984,snapshot_2026_08_03.json,snapshot_2026_07_31.json
9,map,au-melbourne,Melbourne,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,162,162,162,162,0,0,snapshot_2026_08_03.json,snapshot_2026_07_31.json
10,map,singapore-val,Singapore,Valdotorium,Valdotorium,https://github.com/Valdotorium,139,139,1355,1355,1216,1216,snapshot_2026_08_03.json,snapshot_2026_07_31.json
11,mod,induced-demand,Induced Demand,martig7,martig7,https://github.com/martig7,131,131,2476,2476,2345,2345,snapshot_2026_08_03.json,snapshot_2026_07_31.json
12,mod,subwaybuilder-regions,Regions,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,121,121,4133,4133,4012,4012,snapshot_2026_08_03.json,snapshot_2026_07_31.json
13,map,au-syd2,Sydney,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,117,117,117,117,0,0,snapshot_2026_08_03.json,snapshot_2026_07_31.json
14,mod,map-markers,Map Markers,roquerodrigo,roquerodrigo,https://github.com/roquerodrigo,109,109,784,784,675,675,snapshot_2026_08_03.json,snapshot_2026_07_31.json
15,map,nz-auckland,Auckland,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,108,108,108,108,0,0,snapshot_2026_08_03.json,snapshot_2026_07_31.json
16,mod,game-speedup,Game SpeedUp,Valdotorium,Valdotorium,https://github.com/Valdotorium,99,99,1888,1888,1789,1789,snapshot_2026_08_03.json,snapshot_2026_07_31.json
17,mod,station-dots,Station Dots,nzh0172,naz,https://github.com/nzh0172,98,98,2583,2583,2485,2485,snapshot_2026_08_03.json,snapshot_2026_07_31.json
18,map,berlin-val,Berlin,Valdotorium,Valdotorium,https://github.com/Valdotorium,95,95,1950,1950,1855,1855,snapshot_2026_08_03.json,snapshot_2026_07_31.json
19,map,yukina-nagoya,名古屋 (Nagoya),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,94,94,612,612,518,518,snapshot_2026_08_03.json,snapshot_2026_07_31.json
20,mod,network-status,Network Status,Valdotorium,Valdotorium,https://github.com/Valdotorium,93,93,2306,2306,2213,2213,snapshot_2026_08_03.json,snapshot_2026_07_31.json
21,map,au-brisbane,Brisbane,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,89,89,89,89,0,0,snapshot_2026_08_03.json,snapshot_2026_07_31.json
22,mod,missed-connections,Missed Connections,rslurry,slurry,https://github.com/rslurry,87,87,1042,1042,955,955,snapshot_2026_08_03.json,snapshot_2026_07_31.json
23,map,toronto,Toronto,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,85,85,2722,2722,2637,2637,snapshot_2026_08_03.json,snapshot_2026_07_31.json
24,map,mfn-hong-kong,Hong Kong,crumpetime,muffintime,https://github.com/crumpetime,83,83,2611,2611,2528,2528,snapshot_2026_08_03.json,snapshot_2026_07_31.json
25,map,paris-ile-de-france,Paris,pierreggt,pierreggt,https://github.com/pierreggt,81,81,764,764,683,683,snapshot_2026_08_03.json,snapshot_2026_07_31.json
26,map,barcelona,Barcelona,Maximilian284,max02,https://github.com/Maximilian284,77,77,1482,1482,1405,1405,snapshot_2026_08_03.json,snapshot_2026_07_31.json
27,mod,resizable-ui,Resizable UI,Tesarzh,Tesarzh,https://github.com/Tesarzh,77,77,89,89,12,12,snapshot_2026_08_03.json,snapshot_2026_07_31.json
28,mod,simple-trains,Simple Trains,Bobby-047,Bobby-047,https://github.com/Bobby-047,76,76,3132,3132,3056,3056,snapshot_2026_08_03.json,snapshot_2026_07_31.json
29,map,au-perth,Perth,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,72,72,72,72,0,0,snapshot_2026_08_03.json,snapshot_2026_07_31.json
30,map,jelegend-tokyo,東京 (Tokyo),jelegend,jelegend,https://github.com/jelegend,71,71,3344,3344,3273,3273,snapshot_2026_08_03.json,snapshot_2026_07_31.json
31,map,au-adelaide,Adelaide,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,71,71,71,71,0,0,snapshot_2026_08_03.json,snapshot_2026_07_31.json
32,mod,danield1909-realism-pathfinding,Pathfinding Realism Mod,DanielD1909,DanielD1909,https://github.com/DanielD1909,68,68,68,68,0,0,snapshot_2026_08_03.json,snapshot_2026_07_31.json
33,mod,auto-lines,Auto Lines,roquerodrigo,roquerodrigo,https://github.com/roquerodrigo,60,60,525,525,465,465,snapshot_2026_08_03.json,snapshot_2026_07_31.json
34,mod,track-visualizer,track height visualizer,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,59,59,2128,2128,2069,2069,snapshot_2026_08_03.json,snapshot_2026_07_31.json
35,map,yukina-cz-praha,Praha,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,59,59,1820,1820,1761,1761,snapshot_2026_08_03.json,snapshot_2026_07_31.json
36,map,yukina-osaka,大阪 (Ōsaka),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,58,58,2027,2027,1969,1969,snapshot_2026_08_03.json,snapshot_2026_07_31.json
37,map,shanghai,Shanghai,Kronifer,Kronifer,https://github.com/Kronifer,55,55,1292,1292,1237,1237,snapshot_2026_08_03.json,snapshot_2026_07_31.json
38,map,nz-wellington,Wellington,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,52,52,52,52,0,0,snapshot_2026_08_03.json,snapshot_2026_07_31.json
39,mod,mode-manager,Mode Manager,Mpfk,Mpfk,https://github.com/Mpfk,51,51,1589,1589,1538,1538,snapshot_2026_08_03.json,snapshot_2026_07_31.json
40,mod,track-anarchy,Track Anarchy,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,49,49,1372,1372,1323,1323,snapshot_2026_08_03.json,snapshot_2026_07_31.json
41,mod,tod,Transit-Oriented Development[beta],hsullivan1201,hsullivan1201,https://github.com/hsullivan1201,47,47,2285,2285,2238,2238,snapshot_2026_08_03.json,snapshot_2026_07_31.json
42,map,au-canberra,Canberra,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,47,47,47,47,0,0,snapshot_2026_08_03.json,snapshot_2026_07_31.json
43,map,montreal,Montreal,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,46,46,1914,1914,1868,1868,snapshot_2026_08_03.json,snapshot_2026_07_31.json
44,map,zurich,Zurich,Kronifer,Kronifer,https://github.com/Kronifer,44,44,1956,1956,1912,1912,snapshot_2026_08_03.json,snapshot_2026_07_31.json
45,map,madrid,Madrid,Maximilian284,max02,https://github.com/Maximilian284,44,44,1257,1257,1213,1213,snapshot_2026_08_03.json,snapshot_2026_07_31.json
46,map,vancouver,Vancouver,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,43,43,1616,1616,1573,1573,snapshot_2026_08_03.json,snapshot_2026_07_31.json
47,mod,scrollable-dropdowns,Scrollable Dropdowns,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,41,41,1272,1272,1231,1231,snapshot_2026_08_03.json,snapshot_2026_07_31.json
48,mod,demand-clusters,Demand Clusters,m4d5hr1mp,m4d5hr1mp,https://github.com/m4d5hr1mp,41,41,151,151,110,110,snapshot_2026_08_03.json,snapshot_2026_07_31.json
49,map,amsterdam,Amsterdam,ryandicicco,ryandicicco,https://github.com/ryandicicco,40,40,1483,1483,1443,1443,snapshot_2026_08_03.json,snapshot_2026_07_31.json
50,map,nz-christchurch,Christchurch,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,40,40,40,40,0,0,snapshot_2026_08_03.json,snapshot_2026_07_31.json
51,map,mississippi,Mississippi,JayToTheAy,JayToTheAy,https://github.com/JayToTheAy,38,38,38,38,0,0,snapshot_2026_08_03.json,snapshot_2026_07_31.json
52,mod,any-money,anyMoney,nzh0172,naz,https://github.com/nzh0172,37,37,2117,2117,2080,2080,snapshot_2026_08_03.json,snapshot_2026_07_31.json
53,map,shenzhen,Shenzhen,Kronifer,Kronifer,https://github.com/Kronifer,35,35,846,846,811,811,snapshot_2026_08_03.json,snapshot_2026_07_31.json
54,map,oslo-no,Oslo,rslurry,slurry,https://github.com/rslurry,35,35,683,683,648,648,snapshot_2026_08_03.json,snapshot_2026_07_31.json
55,map,rome,Rome,Maximilian284,max02,https://github.com/Maximilian284,33,33,923,923,890,890,snapshot_2026_08_03.json,snapshot_2026_07_31.json
56,map,chongqing,Chongqing,Kronifer,Kronifer,https://github.com/Kronifer,33,33,603,603,570,570,snapshot_2026_08_03.json,snapshot_2026_07_31.json
57,map,istanbul,Istanbul,pierreggt,pierreggt,https://github.com/pierreggt,33,33,257,257,224,224,snapshot_2026_08_03.json,snapshot_2026_07_31.json
58,mod,anysave,AnySave,BarKuperman,BarKuperman,https://github.com/BarKuperman,33,33,33,33,0,0,snapshot_2026_08_03.json,snapshot_2026_07_31.json
59,map,ciudad-de-mexico,Ciudad de México,rslurry,slurry,https://github.com/rslurry,32,32,1899,1899,1867,1867,snapshot_2026_08_03.json,snapshot_2026_07_31.json
60,map,yukina-tw-taipei,臺北 (Taipei),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,32,32,1407,1407,1375,1375,snapshot_2026_08_03.json,snapshot_2026_07_31.json
61,map,greater-chicagoland,Greater Chicagoland,NerdieSanders,NerdieSanders,https://github.com/NerdieSanders,32,32,666,666,634,634,snapshot_2026_08_03.json,snapshot_2026_07_31.json
62,map,greater-los-angeles,Greater Los Angeles,rslurry,slurry,https://github.com/rslurry,31,31,3563,3563,3532,3532,snapshot_2026_08_03.json,snapshot_2026_07_31.json
63,mod,citymapper,Citymapper,Gio1112,giorgiodabest,https://giorgio.is-a.dev/,31,31,2484,2484,2453,2453,snapshot_2026_08_03.json,snapshot_2026_07_31.json
64,map,yukina-kyoto,京都 (Kyōto),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,31,31,1105,1105,1074,1074,snapshot_2026_08_03.json,snapshot_2026_07_31.json
65,map,guangzhou,Guangzhou,Kronifer,Kronifer,https://github.com/Kronifer,31,31,1047,1047,1016,1016,snapshot_2026_08_03.json,snapshot_2026_07_31.json
66,map,beijing,Beijing,Kronifer,Kronifer,https://github.com/Kronifer,31,31,694,694,663,663,snapshot_2026_08_03.json,snapshot_2026_07_31.json
67,mod,lrt-trains,LRT Trains,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,30,30,902,902,872,872,snapshot_2026_08_03.json,snapshot_2026_07_31.json
