rank,project_key,project_name,author,author_alias,attribution_link,listing_count,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot,map_download_change,adjusted_map_download_change,mod_download_change,adjusted_mod_download_change
1,ahkimn/subwaybuilder-eu-maps,subwaybuilder-eu-maps,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,74,3681,3681,19060,19060,15379,15379,snapshot_2026_09_08.json,snapshot_2026_08_25.json,3681,3681,0,0
2,pierreggt/subwaybuilder-maps-deutschland,subwaybuilder-maps-deutschland,pierreggt,pierreggt,https://github.com/pierreggt,20,1340,1340,1340,1340,0,0,snapshot_2026_09_08.json,snapshot_2026_08_25.json,1340,1340,0,0
3,ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,48,1190,1190,22472,22472,21282,21282,snapshot_2026_09_08.json,snapshot_2026_08_25.json,1190,1190,0,0
4,pierreggt/subwaybuilder-maps-france,subwaybuilder-maps-france,pierreggt,pierreggt,https://github.com/pierreggt,35,913,913,4004,4004,3091,3091,snapshot_2026_09_08.json,snapshot_2026_08_25.json,913,913,0,0
5,devenperez/subway-builder-canadian-maps,subway-builder-canadian-maps,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,8,563,563,11013,11013,10450,10450,snapshot_2026_09_08.json,snapshot_2026_08_25.json,563,563,0,0
6,rslurry/subwaybuilder-maps,subwaybuilder-maps,rslurry,slurry,https://github.com/rslurry,33,521,521,19945,19945,19424,19424,snapshot_2026_09_08.json,snapshot_2026_08_25.json,521,521,0,0
7,crumpetime/subway_builder_distance_circles,subway_builder_distance_circles,crumpetime,muffintime,https://github.com/crumpetime,1,473,473,8137,8137,7664,7664,snapshot_2026_09_08.json,snapshot_2026_08_25.json,0,0,473,473
8,rexmhall09/subway-builder-performance-mod,Subway-Builder-Performance-Mod,rexmhall09,rexmhall09,https://github.com/rexmhall09,1,452,452,1196,1196,744,744,snapshot_2026_09_08.json,snapshot_2026_08_25.json,0,0,452,452
9,martig7/induced-demand,Induced-Demand,martig7,martig7,https://github.com/martig7,1,431,431,4107,4107,3676,3676,snapshot_2026_09_08.json,snapshot_2026_08_25.json,0,0,431,431
10,barkuperman/transit-overlay-subway-builder-mod,transit-overlay-subway-builder-mod,BarKuperman,BarKuperman,https://github.com/BarKuperman,1,415,415,5401,5401,4986,4986,snapshot_2026_09_08.json,snapshot_2026_08_25.json,0,0,415,415
11,martig7/improved-schematics,Improved-Schematics,martig7,martig7,https://github.com/martig7,1,401,401,5973,5973,5572,5572,snapshot_2026_09_08.json,snapshot_2026_08_25.json,0,0,401,401
12,kronifer/sb-chinese-maps,sb-chinese-maps,Kronifer,Kronifer,https://github.com/Kronifer,6,389,389,6405,6405,6016,6016,snapshot_2026_09_08.json,snapshot_2026_08_25.json,389,389,0,0
13,barkuperman/subwaybuilder-au-nz-maps,subwaybuilder-au-nz-maps,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,9,378,378,2412,2412,2034,2034,snapshot_2026_09_08.json,snapshot_2026_08_25.json,378,378,0,0
14,ahkimn/subwaybuilder-tw-maps,subwaybuilder-tw-maps,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,9,364,364,4581,4581,4217,4217,snapshot_2026_09_08.json,snapshot_2026_08_25.json,364,364,0,0
15,ahkimn/subwaybuilder-regions,subwaybuilder-regions,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,1,346,346,5339,5339,4993,4993,snapshot_2026_09_08.json,snapshot_2026_08_25.json,0,0,346,346
16,maximilian284/subwaybuilder-es-maps,subwaybuilder-es-maps,Maximilian284,max02,https://github.com/Maximilian284,7,343,343,4832,4832,4489,4489,snapshot_2026_09_08.json,snapshot_2026_08_25.json,343,343,0,0
17,roquerodrigo/subway-builder-auto-lines,subway-builder-auto-lines,roquerodrigo,roquerodrigo,https://github.com/roquerodrigo,1,343,343,1390,1390,1047,1047,snapshot_2026_09_08.json,snapshot_2026_08_25.json,0,0,343,343
18,valdotorium/railyard-maps-2,Railyard-Maps-2,Valdotorium,Valdotorium,https://github.com/Valdotorium,4,338,338,5196,5196,4858,4858,snapshot_2026_09_08.json,snapshot_2026_08_25.json,338,338,0,0
19,rmerr1/sb-vienna-map,sb-vienna-map,Rmerr1,Rmerr1,https://github.com/Rmerr1,1,335,335,489,489,154,154,snapshot_2026_09_08.json,snapshot_2026_08_25.json,335,335,0,0
20,danield1909/dantrains-abridged,dantrains-abridged,DanielD1909,DanielD1909,https://github.com/DanielD1909,1,311,311,812,812,501,501,snapshot_2026_09_08.json,snapshot_2026_08_25.json,0,0,311,311
