rank,project_key,project_name,author,author_alias,attribution_link,listing_count,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
1,ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,48,4276,4276,16057,16057,11781,11781,snapshot_2026_08_13.json,snapshot_2026_08_06.json
2,stefanorigano/advanced_analytics,advanced_analytics,stefanorigano,Steno,https://github.com/stefanorigano,1,924,924,13424,13424,12500,12500,snapshot_2026_08_13.json,snapshot_2026_08_06.json
3,barkuperman/transit-overlay-subway-builder-mod,transit-overlay-subway-builder-mod,BarKuperman,BarKuperman,https://github.com/BarKuperman,1,610,610,4566,4566,3956,3956,snapshot_2026_08_13.json,snapshot_2026_08_06.json
4,martig7/induced-demand,Induced-Demand,martig7,martig7,https://github.com/martig7,1,570,570,3150,3150,2580,2580,snapshot_2026_08_13.json,snapshot_2026_08_06.json
5,crumpetime/subway_builder_distance_circles,subway_builder_distance_circles,crumpetime,muffintime,https://github.com/crumpetime,1,541,541,7242,7242,6701,6701,snapshot_2026_08_13.json,snapshot_2026_08_06.json
6,rslurry/subwaybuilder-maps,subwaybuilder-maps,rslurry,slurry,https://github.com/rslurry,33,517,517,18730,18730,18213,18213,snapshot_2026_08_13.json,snapshot_2026_08_06.json
7,ahkimn/subwaybuilder-eu-maps,subwaybuilder-eu-maps,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,52,492,492,10982,10982,10490,10490,snapshot_2026_08_13.json,snapshot_2026_08_06.json
8,barkuperman/subwaybuilder-au-nz-maps,subwaybuilder-au-nz-maps,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,9,472,472,1624,1624,1152,1152,snapshot_2026_08_13.json,snapshot_2026_08_06.json
9,kronifer/sb-chinese-maps,sb-chinese-maps,Kronifer,Kronifer,https://github.com/Kronifer,5,444,444,5109,5109,4665,4665,snapshot_2026_08_13.json,snapshot_2026_08_06.json
10,devenperez/subway-builder-canadian-maps,subway-builder-canadian-maps,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,8,440,440,9903,9903,9463,9463,snapshot_2026_08_13.json,snapshot_2026_08_06.json
11,martig7/improved-schematics,Improved-Schematics,martig7,martig7,https://github.com/martig7,1,396,396,5197,5197,4801,4801,snapshot_2026_08_13.json,snapshot_2026_08_06.json
12,pierreggt/subway-builder-paris,subway-builder-paris,pierreggt,pierreggt,https://github.com/pierreggt,1,396,396,1227,1227,831,831,snapshot_2026_08_13.json,snapshot_2026_08_06.json
13,pendulating/neighborhood-station-names,neighborhood-station-names,pendulating,pendulating,https://github.com/pendulating,1,388,388,1612,1612,1224,1224,snapshot_2026_08_13.json,snapshot_2026_08_06.json
14,kaicardenas0618/subway-builder-peru,subway-builder-peru,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,9,365,365,1478,1478,1113,1113,snapshot_2026_08_13.json,snapshot_2026_08_06.json
15,valdotorium/railyard-maps-2,Railyard-Maps-2,Valdotorium,Valdotorium,https://github.com/Valdotorium,4,342,342,4494,4494,4152,4152,snapshot_2026_08_13.json,snapshot_2026_08_06.json
16,rslurry/subwaybuilder-missedconnections,subwaybuilder-missedConnections,rslurry,slurry,https://github.com/rslurry,1,340,340,1456,1456,1116,1116,snapshot_2026_08_13.json,snapshot_2026_08_06.json
17,ahkimn/subwaybuilder-regions,subwaybuilder-regions,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,1,324,324,4543,4543,4219,4219,snapshot_2026_08_13.json,snapshot_2026_08_06.json
18,maximilian284/subwaybuilder-es-maps,subwaybuilder-es-maps,Maximilian284,max02,https://github.com/Maximilian284,7,264,264,4221,4221,3957,3957,snapshot_2026_08_13.json,snapshot_2026_08_06.json
19,rexmhall09/subway-builder-performance-mod,Subway-Builder-Performance-Mod,rexmhall09,rexmhall09,https://github.com/rexmhall09,1,245,245,555,555,310,310,snapshot_2026_08_13.json,snapshot_2026_08_06.json
20,valdotorium/valdotoriums_trains,Valdotoriums_Trains,Valdotorium,Valdotorium,https://github.com/Valdotorium,1,237,237,3296,3296,3059,3059,snapshot_2026_08_13.json,snapshot_2026_08_06.json
21,barkuperman/orbital-surveyor,orbital-surveyor,BarKuperman,BarKuperman,https://github.com/BarKuperman,1,223,223,1941,1941,1718,1718,snapshot_2026_08_13.json,snapshot_2026_08_06.json
22,kimth9/sb_korean_map_pack,sb_korean_map_pack,kimth9,kimth9,https://github.com/kimth9,19,215,215,7840,7840,7625,7625,snapshot_2026_08_13.json,snapshot_2026_08_06.json
23,valdotorium/speed-mod,speed-mod,Valdotorium,Valdotorium,https://github.com/Valdotorium,1,183,183,2145,2145,1962,1962,snapshot_2026_08_13.json,snapshot_2026_08_06.json
24,kaicardenas0618/japanese-trains,japanese-trains,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,1,183,183,841,841,658,658,snapshot_2026_08_13.json,snapshot_2026_08_06.json
25,nzh0172/sb-station-dots,sb-station-dots,nzh0172,naz,https://github.com/nzh0172,1,175,175,2843,2843,2668,2668,snapshot_2026_08_13.json,snapshot_2026_08_06.json
26,maximilian284/subwaybuilder-it-maps,subwaybuilder-it-maps,Maximilian284,max02,https://github.com/Maximilian284,14,173,173,4434,4434,4261,4261,snapshot_2026_08_13.json,snapshot_2026_08_06.json
27,nerdiesanders/subway-builder-gchi,subway-builder-gchi,NerdieSanders,NerdieSanders,https://github.com/NerdieSanders,1,160,160,852,852,692,692,snapshot_2026_08_13.json,snapshot_2026_08_06.json
28,ahkimn/subwaybuilder-tw-maps,subwaybuilder-tw-maps,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,6,149,149,2948,2948,2799,2799,snapshot_2026_08_13.json,snapshot_2026_08_06.json
29,valdotorium/network-status,network-status,Valdotorium,Valdotorium,https://github.com/Valdotorium,1,149,149,2511,2511,2362,2362,snapshot_2026_08_13.json,snapshot_2026_08_06.json
30,ryandicicco/subway-builder-maps,Subway-Builder-Maps,ryandicicco,ryandicicco,https://github.com/ryandicicco,7,148,148,4012,4012,3864,3864,snapshot_2026_08_13.json,snapshot_2026_08_06.json
31,bobby-047/some-new-trains,Some-new-Trains,Bobby-047,Bobby-047,https://github.com/Bobby-047,1,144,144,3341,3341,3197,3197,snapshot_2026_08_13.json,snapshot_2026_08_06.json
32,cromstar/subwaybuilder-seoul-map,subwaybuilder-seoul-map,cromstar,cromstar,https://github.com/cromstar,1,133,133,133,133,0,0,snapshot_2026_08_13.json,snapshot_2026_08_06.json
33,crumpetime/sb-maps-hkg,sb-maps-hkg,crumpetime,muffintime,https://github.com/crumpetime,1,132,132,2800,2800,2668,2668,snapshot_2026_08_13.json,snapshot_2026_08_06.json
34,jelegend/subwaybuilder,subwaybuilder,jelegend,jelegend,https://github.com/jelegend,1,131,131,3527,3527,3396,3396,snapshot_2026_08_13.json,snapshot_2026_08_06.json
35,nzh0172/sb-malaysia-map-pack,sb-malaysia-map-pack,nzh0172,naz,https://github.com/nzh0172,1,130,130,495,495,365,365,snapshot_2026_08_13.json,snapshot_2026_08_06.json
36,seanyushoumori/scrollable-dropdowns,scrollable-dropdowns,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,1,129,129,1442,1442,1313,1313,snapshot_2026_08_13.json,snapshot_2026_08_06.json
37,roquerodrigo/subway-builder-map-markers,subway-builder-map-markers,roquerodrigo,roquerodrigo,https://github.com/roquerodrigo,1,124,124,974,974,850,850,snapshot_2026_08_13.json,snapshot_2026_08_06.json
38,roquerodrigo/subway-builder-auto-lines,subway-builder-auto-lines,roquerodrigo,roquerodrigo,https://github.com/roquerodrigo,1,123,123,691,691,568,568,snapshot_2026_08_13.json,snapshot_2026_08_06.json
39,seanyushoumori/track-visualizer,track-visualizer,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,1,115,115,2288,2288,2173,2173,snapshot_2026_08_13.json,snapshot_2026_08_06.json
40,seanyushoumori/track-anarchy,track-anarchy,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,1,111,111,1541,1541,1430,1430,snapshot_2026_08_13.json,snapshot_2026_08_06.json
41,danield1909/improvedtwincities,improvedTwinCities,DanielD1909,DanielD1909,https://github.com/DanielD1909,1,102,102,460,460,358,358,snapshot_2026_08_13.json,snapshot_2026_08_06.json
42,hsullivan1201/sb-tod,sb-tod,hsullivan1201,hsullivan1201,https://github.com/hsullivan1201,1,89,89,2410,2410,2321,2321,snapshot_2026_08_13.json,snapshot_2026_08_06.json
43,nzh0172/sb-anymoney,sb-anymoney,nzh0172,naz,https://github.com/nzh0172,1,86,86,2245,2245,2159,2159,snapshot_2026_08_13.json,snapshot_2026_08_06.json
44,nzh0172/sb-malaysia-map-pack-2,sb-malaysia-map-pack-2,nzh0172,naz,https://github.com/nzh0172,3,81,81,340,340,259,259,snapshot_2026_08_13.json,snapshot_2026_08_06.json
45,pierreggt/subway-builder-lyon,subway-builder-lyon,pierreggt,pierreggt,https://github.com/pierreggt,1,81,81,243,243,162,162,snapshot_2026_08_13.json,snapshot_2026_08_06.json
46,mpfk/subway-builder-mode-manager,subway-builder-mode-manager,Mpfk,Mpfk,https://github.com/Mpfk,1,79,79,1710,1710,1631,1631,snapshot_2026_08_13.json,snapshot_2026_08_06.json
47,gio1112/subway-builder-citymapper,subway-builder-citymapper,Gio1112,giorgiodabest,https://giorgio.is-a.dev/,1,78,78,2591,2591,2513,2513,snapshot_2026_08_13.json,snapshot_2026_08_06.json
48,pierreggt/subway-builder-marseille,subway-builder-marseille,pierreggt,pierreggt,https://github.com/pierreggt,1,77,77,208,208,131,131,snapshot_2026_08_13.json,snapshot_2026_08_06.json
49,danield1909/dantrains-abridged,dantrains-abridged,DanielD1909,DanielD1909,https://github.com/DanielD1909,1,76,76,356,356,280,280,snapshot_2026_08_13.json,snapshot_2026_08_06.json
50,danield1909/pathfinding-realism-mod,Pathfinding-Realism-Mod,DanielD1909,DanielD1909,https://github.com/DanielD1909,1,64,64,171,171,107,107,snapshot_2026_08_13.json,snapshot_2026_08_06.json
51,kaicardenas0618/lrt-trains,lrt-trains,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,1,61,61,986,986,925,925,snapshot_2026_08_13.json,snapshot_2026_08_06.json
52,pierreggt/subway-builder-istanbul,subway-builder-istanbul,pierreggt,pierreggt,https://github.com/pierreggt,1,61,61,339,339,278,278,snapshot_2026_08_13.json,snapshot_2026_08_06.json
53,arniber21/dantrains-abridged,dantrains-abridged,arniber21,arniber21,https://github.com/arniber21,1,60,60,60,60,0,0,snapshot_2026_08_13.json,snapshot_2026_08_06.json
54,tesarzh/railyard,railyard,Tesarzh,Tesarzh,https://github.com/Tesarzh,1,58,58,167,167,109,109,snapshot_2026_08_13.json,snapshot_2026_08_06.json
55,kronifer/sb-zurich-map,sb-zurich-map,Kronifer,Kronifer,https://github.com/Kronifer,1,55,55,2043,2043,1988,1988,snapshot_2026_08_13.json,snapshot_2026_08_06.json
56,m4d5hr1mp/sb-mods,SB-Mods,m4d5hr1mp,m4d5hr1mp,https://github.com/m4d5hr1mp,1,54,54,224,224,170,170,snapshot_2026_08_13.json,snapshot_2026_08_06.json
57,seanyushoumori/train-anarchy,train-anarchy,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,1,51,51,272,272,221,221,snapshot_2026_08_13.json,snapshot_2026_08_06.json
58,pswbsf/charleston-huntington-wv,charleston-huntington-wv,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,46,46,156,156,110,110,snapshot_2026_08_13.json,snapshot_2026_08_06.json
59,willbarouch/subwaybuilder-sydney,subwaybuilder-sydney,WillBarouch,WillBarouch,https://github.com/WillBarouch,1,43,43,1206,1206,1163,1163,snapshot_2026_08_13.json,snapshot_2026_08_06.json
60,pswbsf/anchorage-ak,anchorage-ak,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,43,43,295,295,252,252,snapshot_2026_08_13.json,snapshot_2026_08_06.json
61,soccerjonj/daytonnati,Daytonnati,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,42,42,417,417,375,375,snapshot_2026_08_13.json,snapshot_2026_08_06.json
62,crumpetime/sb-maps-las,sb-maps-las,crumpetime,muffintime,https://github.com/crumpetime,1,41,41,577,577,536,536,snapshot_2026_08_13.json,snapshot_2026_08_06.json
63,barkuperman/jerusalem-sb-map,jerusalem-sb-map,BarKuperman,BarKuperman,https://github.com/BarKuperman,1,41,41,338,338,297,297,snapshot_2026_08_13.json,snapshot_2026_08_06.json
64,soccerjonj/albany,Albany,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,41,41,290,290,249,249,snapshot_2026_08_13.json,snapshot_2026_08_06.json
65,pswbsf/connecticut-usa,connecticut-usa,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,41,41,253,253,212,212,snapshot_2026_08_13.json,snapshot_2026_08_06.json
66,pswbsf/buffalo-ny,buffalo-ny,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,41,41,252,252,211,211,snapshot_2026_08_13.json,snapshot_2026_08_06.json
67,soccerjonj/colorado-ski-country,Colorado-Ski-Country,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,41,41,250,250,209,209,snapshot_2026_08_13.json,snapshot_2026_08_06.json
68,crumpetime/sb-maps-xna,sb-maps-xna,crumpetime,muffintime,https://github.com/crumpetime,1,41,41,217,217,176,176,snapshot_2026_08_13.json,snapshot_2026_08_06.json
69,pswbsf/charleston-sc,charleston-sc,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,41,41,212,212,171,171,snapshot_2026_08_13.json,snapshot_2026_08_06.json
70,crumpetime/sb-maps-rdu,sb-maps-rdu,crumpetime,muffintime,https://github.com/crumpetime,1,41,41,201,201,160,160,snapshot_2026_08_13.json,snapshot_2026_08_06.json
71,pswbsf/dayton-oh,dayton-oh,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,41,41,178,178,137,137,snapshot_2026_08_13.json,snapshot_2026_08_06.json
72,bean1322/akron-oh-map,akron-oh-map,bean1322,bean1322,https://github.com/bean1322,1,41,41,150,150,109,109,snapshot_2026_08_13.json,snapshot_2026_08_06.json
73,crumpetime/sb-maps-msn,sb-maps-msn,crumpetime,muffintime,https://github.com/crumpetime,1,40,40,421,421,381,381,snapshot_2026_08_13.json,snapshot_2026_08_06.json
74,soccerjonj/providence,Providence,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,40,40,298,298,258,258,snapshot_2026_08_13.json,snapshot_2026_08_06.json
