snapshot_date,total_downloads,maps,mods,cumulative_total,cumulative_maps,cumulative_mods,total_new_assets,new_maps,new_mods,cumulative_assets,cumulative_maps_assets,cumulative_mods_assets,total_new_assets_versions,new_maps_versions,new_mods_versions,cumulative_asset_versions,cumulative_maps_versions,cumulative_mods_versions
2026_03_11,2774,2350,424,2774,2350,424,62,57,5,62,57,5,63,60,3,63,60,3
2026_03_12,297,222,75,3071,2572,499,0,0,0,62,57,5,2,2,0,65,62,3
2026_03_13,355,240,115,3426,2812,614,2,1,1,64,58,6,2,2,0,67,64,3
2026_03_14,303,210,93,3729,3022,707,4,3,1,68,61,7,4,2,2,71,66,5
2026_03_15,602,477,125,4331,3499,832,6,6,0,74,67,7,23,20,3,94,86,8
2026_03_16,298,173,125,4629,3672,957,0,0,0,74,67,7,2,0,2,96,86,10
2026_03_17,293,116,177,4922,3788,1134,4,4,0,78,71,7,6,4,2,102,90,12
2026_03_18,525,396,129,5447,4184,1263,4,4,0,82,75,7,10,10,0,112,100,12
2026_03_19,465,341,124,5912,4525,1387,3,1,2,85,76,9,5,1,4,117,101,16
2026_03_20,392,187,205,6304,4712,1592,0,0,0,85,76,9,6,3,3,123,104,19
2026_03_21,551,345,206,6855,5057,1798,1,1,0,86,77,9,2,2,0,125,106,19
2026_03_22,385,208,177,7240,5265,1975,1,1,0,87,78,9,3,2,1,128,108,20
2026_03_23,579,377,202,7819,5642,2177,4,4,0,91,82,9,25,22,3,153,130,23
2026_03_24,221,90,131,8040,5732,2308,2,2,0,93,84,9,5,2,3,158,132,26
2026_03_25,628,377,251,8668,6109,2559,0,0,0,93,84,9,2,2,0,160,134,26
2026_03_26,777,517,260,9445,6626,2819,1,1,0,94,85,9,3,2,1,163,136,27
2026_03_27,992,612,380,10437,7238,3199,0,0,0,94,85,9,2,0,2,165,136,29
2026_03_28,722,386,336,11159,7624,3535,3,3,0,97,88,9,6,6,0,171,142,29
2026_03_29,593,218,375,11752,7842,3910,0,0,0,97,88,9,2,0,2,173,142,31
2026_03_30,1912,1290,622,13664,9132,4532,1,1,0,98,89,9,2,1,1,175,143,32
2026_03_31,1134,585,549,14798,9717,5081,2,1,1,100,90,10,2,1,1,177,144,33
2026_04_01,989,478,511,15787,10195,5592,6,6,0,106,96,10,12,11,1,189,155,34
2026_04_02,886,466,420,16673,10661,6012,2,1,1,108,97,11,3,2,1,192,157,35
2026_04_03,889,463,426,17562,11124,6438,0,0,0,108,97,11,1,0,1,193,157,36
2026_04_04,1008,499,509,18570,11623,6947,4,4,0,112,101,11,3,3,0,196,160,36
2026_04_05,2428,1492,936,20998,13115,7883,8,7,1,120,108,12,14,9,5,210,169,41
