rank,listing_type,id,name,author,author_alias,attribution_link,total_downloads,adjusted_total_downloads,latest_snapshot
1,mod,advanced-analytics,Advanced Analytics,stefanorigano,Steno,https://github.com/stefanorigano,4809,4809,snapshot_2026_04_25.json
2,mod,danield1909-dantrains,"danTrains (v1.* ""Phoenix"")",DanielD1909,DanielD1909,https://github.com/DanielD1909,1355,1355,snapshot_2026_04_25.json
3,map,greater-los-angeles,Greater Los Angeles,rslurry,slurry,https://github.com/rslurry,1301,1301,snapshot_2026_04_25.json
4,map,toronto,Toronto,devenperez,devenperez,https://github.com/devenperez,1228,1228,snapshot_2026_04_25.json
5,mod,distance-circles,Station Catchment Viewer,crumpetime,muffintime,https://github.com/crumpetime,1188,1188,snapshot_2026_04_25.json
6,mod,subwaybuilder-regions,Regions,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,1186,1186,snapshot_2026_04_25.json
7,mod,transit-overlay,Transit Overlay,BarKuperman,BarKuperman,https://github.com/BarKuperman,1159,1159,snapshot_2026_04_25.json
8,mod,valdotoriums-trains,Valdotoriums S-Bahn and Trams,Valdotorium,Valdotorium,https://github.com/Valdotorium,1010,1010,snapshot_2026_04_25.json
9,map,yukina-osaka,大阪 (Ōsaka),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,997,997,snapshot_2026_04_25.json
10,map,jelegend-tokyo,東京 (Tokyo),jelegend,jelegend,https://github.com/jelegend,953,953,snapshot_2026_04_25.json
11,map,montreal,Montreal,devenperez,devenperez,https://github.com/devenperez,841,841,snapshot_2026_04_25.json
12,map,mfn-hong-kong,Hong Kong,crumpetime,muffintime,https://github.com/crumpetime,790,790,snapshot_2026_04_25.json
13,mod,citymapper,Citymapper,Gio1112,giorgiodabest,https://giorgio.is-a.dev/,776,776,snapshot_2026_04_25.json
14,mod,simple-trains,Simple Trains,Bobby-047,Bobby-047,https://github.com/Bobby-047,733,733,snapshot_2026_04_25.json
15,map,zurich,Zurich,Kronifer,Kronifer,https://github.com/Kronifer,694,694,snapshot_2026_04_25.json
16,map,berlin-val,Berlin,Valdotorium,Valdotorium,https://github.com/Valdotorium,691,691,snapshot_2026_04_25.json
17,map,yukina-kyoto,京都 (Kyōto),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,691,691,snapshot_2026_04_25.json
18,map,vancouver,Vancouver,devenperez,devenperez,https://github.com/devenperez,690,690,snapshot_2026_04_25.json
19,map,seoul-4,Seoul (40km×40km),kimth9,kimth9,https://github.com/kimth9,686,686,snapshot_2026_04_25.json
20,mod,any-money,anyMoney,nzh0172,naz,https://github.com/nzh0172,683,683,snapshot_2026_04_25.json
21,map,los-angeles-county,Los Angeles County,rslurry,slurry,https://github.com/rslurry,632,632,snapshot_2026_04_25.json
22,map,amsterdam,Amsterdam,ryandicicco,ryandicicco,https://github.com/ryandicicco,626,626,snapshot_2026_04_25.json
23,map,barcelona,Barcelona,Maximilian284,max02,https://github.com/Maximilian284,620,620,snapshot_2026_04_25.json
24,map,ciudad-de-mexico,Ciudad de México,rslurry,slurry,https://github.com/rslurry,620,620,snapshot_2026_04_25.json
25,map,sydney,Sydney,WillBarouch,WillBarouch,https://github.com/WillBarouch,561,561,snapshot_2026_04_25.json
26,map,glasgow-edinburgh,Glasgow-Edinburgh,Kronifer,Kronifer,https://github.com/Kronifer,549,549,snapshot_2026_04_25.json
27,map,madrid,Madrid,Maximilian284,max02,https://github.com/Maximilian284,542,542,snapshot_2026_04_25.json
28,mod,network-status,Network Status,Valdotorium,Valdotorium,https://github.com/Valdotorium,542,542,snapshot_2026_04_25.json
29,map,singapore-val,Singapore,Valdotorium,Valdotorium,https://github.com/Valdotorium,520,520,snapshot_2026_04_25.json
30,map,yukina-fukuoka,福岡 (Fukuoka),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,448,448,snapshot_2026_04_25.json
31,mod,station-dots,Station Dots,nzh0172,naz,https://github.com/nzh0172,370,370,snapshot_2026_04_25.json
32,map,milan,Milan,Maximilian284,max02,https://github.com/Maximilian284,348,348,snapshot_2026_04_25.json
