rank,listing_type,id,name,author,author_alias,attribution_link,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
1,mod,valdotoriums-trains,Valdotoriums S-Bahn and Trams,Valdotorium,Valdotorium,https://github.com/Valdotorium,804,804,1216,1216,412,412,snapshot_2026_04_03.json,snapshot_2026_03_27.json
2,mod,advanced-analytics,Advanced Analytics,stefanorigano,stefanorigano,https://github.com/stefanorigano,800,800,1754,1754,954,954,snapshot_2026_04_03.json,snapshot_2026_03_27.json
3,mod,citymapper,Citymapper,Gio1112,giorgiodabest,https://giorgio.is-a.dev/,420,420,682,682,262,262,snapshot_2026_04_03.json,snapshot_2026_03_27.json
4,mod,danield1909-dantrains,"danTrains (v1.* ""Phoenix"")",DanielD1909,DanielD1909,https://github.com/DanielD1909,257,257,645,645,388,388,snapshot_2026_04_03.json,snapshot_2026_03_27.json
5,mod,distance-circles,Station Catchment Viewer,crumpetime,muffintime,https://github.com/crumpetime,238,238,546,546,308,308,snapshot_2026_04_03.json,snapshot_2026_03_27.json
6,map,yukina-osaka,大阪 (Ōsaka),ahkimn,Yukina-,https://github.com/ahkimn,227,227,318,318,91,91,snapshot_2026_04_03.json,snapshot_2026_03_27.json
7,mod,any-money,anyMoney,nzh0172,naz,https://github.com/nzh0172,206,206,325,325,119,119,snapshot_2026_04_03.json,snapshot_2026_03_27.json
8,mod,cinematic-camera,Cinematic Camera,TransitCore,TransitCore,https://github.com/TransitCore,180,180,267,267,87,87,snapshot_2026_04_03.json,snapshot_2026_03_27.json
9,map,glasgow-edinburgh,Glasgow-Edinburgh,Kronifer,Kronifer,https://github.com/Kronifer,173,173,235,235,62,62,snapshot_2026_04_03.json,snapshot_2026_03_27.json
10,mod,subwaybuilder-regions,Regions,ahkimn,Yukina-,https://github.com/ahkimn,155,155,503,503,348,348,snapshot_2026_04_03.json,snapshot_2026_03_27.json
11,map,toronto,Toronto,devenperez,devenperez,https://github.com/devenperez,144,144,691,691,547,547,snapshot_2026_04_03.json,snapshot_2026_03_27.json
12,mod,transit-overlay,Transit Overlay,BarKuperman,BarKuperman,https://github.com/BarKuperman,144,144,465,465,321,321,snapshot_2026_04_03.json,snapshot_2026_03_27.json
13,map,greater-los-angeles,Greater Los Angeles,rslurry,slurry,https://github.com/rslurry,144,144,326,326,182,182,snapshot_2026_04_03.json,snapshot_2026_03_27.json
14,map,berlin-val,Berlin,Valdotorium,Valdotorium,https://github.com/Valdotorium,142,142,237,237,95,95,snapshot_2026_04_03.json,snapshot_2026_03_27.json
15,map,sydney,Sydney,WillBarouch,WillBarouch,https://github.com/WillBarouch,132,132,208,208,76,76,snapshot_2026_04_03.json,snapshot_2026_03_27.json
16,map,mfn-hong-kong,Hong Kong,crumpetime,muffintime,https://github.com/crumpetime,130,130,366,366,236,236,snapshot_2026_04_03.json,snapshot_2026_03_27.json
17,map,amsterdam,Amsterdam,ryandicicco,ryandicicco,https://github.com/ryandicicco,129,129,326,326,197,197,snapshot_2026_04_03.json,snapshot_2026_03_27.json
18,map,zurich,Zurich,Kronifer,Kronifer,https://github.com/Kronifer,123,123,314,314,191,191,snapshot_2026_04_03.json,snapshot_2026_03_27.json
19,map,yukina-kyoto,京都 (Kyōto),ahkimn,Yukina-,https://github.com/ahkimn,122,122,336,336,214,214,snapshot_2026_04_03.json,snapshot_2026_03_27.json
20,map,singapore-val,Singapore,Valdotorium,Valdotorium,https://github.com/Valdotorium,111,111,208,208,97,97,snapshot_2026_04_03.json,snapshot_2026_03_27.json
21,map,barcelona,Barcelona,Maximilian284,max02,https://github.com/Maximilian284,109,109,109,109,0,0,snapshot_2026_04_03.json,snapshot_2026_03_27.json
