rank,project_key,project_name,author,author_alias,attribution_link,listing_count,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
1,rslurry/subwaybuilder-maps,subwaybuilder-maps,rslurry,slurry,https://github.com/rslurry,23,103,103,6270,6245,6167,6142,snapshot_2026_05_01.json,snapshot_2026_04_30.json
2,kimth9/sb_korean_map_pack,sb_korean_map_pack,kimth9,kimth9,https://github.com/kimth9,19,86,86,3171,3171,3085,3085,snapshot_2026_05_01.json,snapshot_2026_04_30.json
3,kronifer/sb-chinese-maps,sb-chinese-maps,Kronifer,Kronifer,https://github.com/Kronifer,2,83,83,230,230,147,147,snapshot_2026_05_01.json,snapshot_2026_04_30.json
4,stefanorigano/advanced_analytics,advanced_analytics,stefanorigano,Steno,https://github.com/stefanorigano,1,75,75,5531,5531,5456,5456,snapshot_2026_05_01.json,snapshot_2026_04_30.json
5,ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,29,58,58,5698,5698,5640,5640,snapshot_2026_05_01.json,snapshot_2026_04_30.json
6,ahkimn/subwaybuilder-eu-maps,subwaybuilder-eu-maps,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,7,51,51,400,400,349,349,snapshot_2026_05_01.json,snapshot_2026_04_30.json
7,ahkimn/subwaybuilder-regions,subwaybuilder-regions,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,1,34,34,1493,1493,1459,1459,snapshot_2026_05_01.json,snapshot_2026_04_30.json
8,jelegend/subwaybuilder,subwaybuilder,jelegend,jelegend,https://github.com/jelegend,1,33,33,1120,1120,1087,1087,snapshot_2026_05_01.json,snapshot_2026_04_30.json
9,devenperez/subway-builder-canadian-maps,subway-builder-canadian-maps,devenperez,devenperez,https://github.com/devenperez,8,30,30,4488,4488,4458,4458,snapshot_2026_05_01.json,snapshot_2026_04_30.json
10,gio1112/subway-builder-citymapper,subway-builder-citymapper,Gio1112,giorgiodabest,https://giorgio.is-a.dev/,1,26,26,1016,1016,990,990,snapshot_2026_05_01.json,snapshot_2026_04_30.json
11,crumpetime/subway_builder_distance_circles,subway_builder_distance_circles,crumpetime,muffintime,https://github.com/crumpetime,1,25,25,1428,1428,1403,1403,snapshot_2026_05_01.json,snapshot_2026_04_30.json
12,bobby-047/some-new-trains,Some-new-Trains,Bobby-047,Bobby-047,https://github.com/Bobby-047,1,25,25,919,919,894,894,snapshot_2026_05_01.json,snapshot_2026_04_30.json
13,maximilian284/subwaybuilder-it-maps,subwaybuilder-it-maps,Maximilian284,max02,https://github.com/Maximilian284,14,21,21,1810,1810,1789,1789,snapshot_2026_05_01.json,snapshot_2026_04_30.json
14,maximilian284/subwaybuilder-es-maps,subwaybuilder-es-maps,Maximilian284,max02,https://github.com/Maximilian284,4,21,21,1725,1725,1704,1704,snapshot_2026_05_01.json,snapshot_2026_04_30.json
15,valdotorium/valdotoriums_trains,Valdotoriums_Trains,Valdotorium,Valdotorium,https://github.com/Valdotorium,1,21,21,1142,1142,1121,1121,snapshot_2026_05_01.json,snapshot_2026_04_30.json
16,barkuperman/transit-overlay-subway-builder-mod,transit-overlay-subway-builder-mod,BarKuperman,BarKuperman,https://github.com/BarKuperman,1,20,20,1318,1318,1298,1298,snapshot_2026_05_01.json,snapshot_2026_04_30.json
17,valdotorium/network-status,network-status,Valdotorium,Valdotorium,https://github.com/Valdotorium,1,19,19,670,670,651,651,snapshot_2026_05_01.json,snapshot_2026_04_30.json
18,valdotorium/railyard-maps-2,Railyard-Maps-2,Valdotorium,Valdotorium,https://github.com/Valdotorium,4,17,17,1766,1766,1749,1749,snapshot_2026_05_01.json,snapshot_2026_04_30.json
19,ryandicicco/subway-builder-maps,Subway-Builder-Maps,ryandicicco,ryandicicco,https://github.com/ryandicicco,6,17,17,1561,1561,1544,1544,snapshot_2026_05_01.json,snapshot_2026_04_30.json
